ZIPCODE,ZCTA,MODZCTA,UHFCODE,Notes,USPS_valid,,,,,,,,
10000,10000,10000,9999,Central Park,no,,,,,,,,
10001,10001,10001,306,,,,,,,,,,
10002,10002,10002,309,,,,,,,,,,
10003,10003,10003,309,,, ,,,,,,,
10004,10004,10004,310,,,,,,,,,,
10005,10005,10005,310,,,,,,,,,,
10006,10006,10006,310,,,,,,,,,,
10007,10007,10007,310,,,,,,,,,,
10008,10007,10007,310,,,,,,,,,,
10009,10009,10009,309,,,,,,,,,,
10010,10010,10010,307,,,,,,,,,,
10011,10011,10011,306,, ,,,,,,,, 
10012,10012,10012,308,,,,,,,,,,
10013,10013,10013,308,,,,,,,,,,
10014,10014,10014,308,,,,,,,,,,
10015,10007,10007,310,,,,,,,,,,
10016,10016,10016,307,,,,,,,,,,
10017,10017,10017,307,,,,,,,,,,
10018,10018,10018,306,,,,,,,,,,
10019,10019,10019,306,,,,,,,,,,
10020,10020,10019,306,,,,,,,,,,
10021,10021,10021,305,,,,,,,,,,
10022,10022,10022,307,,,,,,,,,,
10023,10023,10023,304,,,,,,,,,,
10024,10024,10024,304,,,,,,,,,,
10025,10025,10025,304,,,,,,,,,,
10026,10026,10026,302,,,,,,,,,,
10027,10027,10027,302,,,,,,,,,,
10028,10028,10028,305,,,,,,,,,,
10029,10029,10029,303,,,,,,,,,,
10030,10030,10030,302,,,,,,,,,,
10031,10031,10031,301,,,,,,,,,,
10032,10032,10032,301,,,,,,,,,,
10033,10033,10033,301,,,,,,,,,,
10034,10034,10034,301,,,,,,,,,,
10035,10035,10035,303,,,,,,,,,,
10036,10036,10036,306,,,,,,,,,,
10037,10037,10037,302,,,,,,,,,,
10038,10038,10038,310,,,,,,,,,,
10039,10039,10039,302,,,,,,,,,,
10040,10040,10040,301,,,,,,,,,,
10041,10004,10004,310,,,,,,,,,,
10043,10005,10005,310,,,,,,,,,,
10044,10044,10044,305,,,,,,,,,,
10045,10005,10005,310,update here 1.24.17,,,,,,,,,
10046,10007,10007,310,,,,,,,,,,
10047,10007,10007,310,,,,,,,,,,
10048,10006,10006,310,,,,,,,,,,
10055,10022,10022,307,,,,,,,,,,
10060,10001,10001,306,,,,,,,,,,
10065,10065,10065,305,,,,,,,,,,
10069,10069,10069,304,,,,,,,,,,
10072,10001,10001,306,,,,,,,,,,
10075,10075,10075,305,,,,,,,,,,
10079,10007,10007,310,,,,,,,,,,
10080,10007,10007,310,,,,,,,,,,
10081,10007,10007,310,,,,,,,,,,
10082,10023,10023,304,,,,,,,,,,
10087,10017,10017,307,,,,,,,,,,
10090,10018,10018,306,,,,,,,,,,
10094,10007,10007,310,,,,,,,,,,
10095,10001,10001,306,,,,,,,,,,
10096,10007,10007,310,,,,,,,,,,
10098,10007,10007,310,,,,,,,,,,
10099,10001,10001,306,,,,,,,,,,
10101,10019,10019,306,,, ,,,,,,,
10102,10019,10019,306,,,,,,,,,,
10103,10019,10019,306,,,,,,,,,,
10104,10019,10019,306,,,,,,,,,,
10105,10019,10019,306,,,,,,,,,,
10106,10019,10019,306,,, ,,,,,,,
10107,10019,10019,306,,,,,,,,,,
10108,10036,10036,306,,,,,,,,,,
10109,10036,10036,306,,,,,,,,,,
10110,10110,10036,306,,,,,,,,,,
10111,10111,10019,306,/* updated on 5.16.17 */,,,,,,,,,
10112,10020,10019,306,/* updated on 1.23.17 */,,,,,,,,,
10113,10011,10011,306,,,,,,,,,,
10114,10011,10011,306,,,,,,,,,,
10115,10027,10027,302,,,,,,,,,,
10116,10027,10027,302,,,,,,,,,,
10117,10001,10001,306,,,,,,,,,,
10118,10001,10001,306,,,,,,,,,,
10119,10001,10001,306,,,,,,,,,,
10120,10001,10001,306,,,,,,,,,,
10121,10001,10001,306,,,,,,,,,,
10122,10001,10001,306,,,,,,,,,,
10123,10001,10001,306,,,,,,,,,,
10124,10022,10022,307,,,,,,,,,,
10125,10001,10001,306,,,,,,,,,,
10126,10022,10022,307,,,,,,,,,,
10128,10128,10128,305,,,,,,,,,,
10129,10018,10018,306,,,,,,,,,,
10130,10001,10001,306,,,,,,,,,,
10131,10128,10128,305,,,,, ,,,,,
10132,10024,10024,304,updated UHF assignment 5/9/16,,,,,,,,,
10133,10023,10023,304,updated UHF assignment 5/9/16,,,,,,,,,
10138,10018,10018,306,,,,,,,,,,
10149,10019,10019,306,,,,,,,,,,
10150,10022,10022,307,,,,,,,,,,
10151,10022,10022,307,,,,,,,,,,
10152,10022,10022,307,,,,,,,,,,
10153,10022,10022,307,,,,,,,,,,
10154,10022,10022,307,,,,,,,,,,
10155,10022,10022,307,,,,,,,,,,
10156,10016,10016,307,,,,,,,,,,
10157,10016,10016,307,,,,,,,,,,
10158,10016,10016,307,,,,,,,,,,
10159,10010,10010,307,,,,,,,,,,
10160,10010,10010,307,,,,,,,,,,
10161,10001,10001,306,,,,,,,,,,
10162,10162,10075,305,,,,,,,,,,
10163,10017,10017,307,,,,,,,,,,
10164,10017,10017,307,,,,,,,,,,
10165,10165,10017,307,,,,,,,,,,
10166,10017,10017,307,,,,,,,,,,
10167,10017,10017,307,,,,,,,,,,
10168,10017,10017,307,,,,,,,,,,
10169,10017,10017,307,,,,,,,,,,
10170,10170,10017,307,updated on 5/16/17,,,,,,,,,
10171,10171,10017,307,,,,,,,,,,
10172,10017,10017,307,,,,,,,,,,
10173,10017,10017,307,,,,,,,,,,
10174,10017,10017,307,,,,,,,,,,
10175,10017,10017,307,,,,,,,,,,
10176,10017,10017,307,,,,,,,,,,
10177,10017,10017,307,,,,,,,,,,
10178,10017,10017,307,,,,,,,,,,
10179,10017,10017,307,,,,,,,,,,
10184,10007,10007,310,,,,,,,,,,
10185,10036,10036,306,,,,,,,,,,
10196,10007,10007,310,,,,,,,,,,
10197,10022,10022,307,,,,,,,,,,
10199,10199,10001,306,,,,,,,,,,
10203,10007,10007,310,,,,,,,,,,
10211,10003,10003,309,,,,,,,,,,
10212,10038,10038,310,,,,,,,,,,
10213,10013,10013,308,,,,,,,,,,
10242,10007,10007,310,,,,,,,,,,
10249,10007,10007,310,,,,,,,,,,
10256,10006,10006,310,,,,,,,,,,
10257,10007,10007,310,,,,,,,,,,
10258,10007,10007,310,,,,,,,,,,
10259,10017,10017,307,,,,,,,,,,
10260,10004,10004,310,,,,,,,,,,
10261,10017,10017,307,,,,,,,,,,
10265,10005,10005,310,,,,,,,,,,
10268,10004,10004,310,,,,,,,,,,
