Name,Type,Size,Property,Value
FILEID,Short Text,6,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {6D317C91-4F2F-4154-A5D4-C96B392AFACD}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,0
,,,Required: ,False
,,,SourceField: ,FILEID
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
STUSAB,Short Text,2,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {20CB66CB-181A-43CB-9C25-F299AC0BFFBC}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,1
,,,Required: ,False
,,,SourceField: ,STUSAB
,,,SourceTable: ,GEO_HEADER_SF1
Name,Type,Size,Property,Value
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
SUMLEV,Short Text,3,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {9E9BC7A6-1078-4A57-B1EE-A90721E729E9}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,2
,,,Required: ,False
,,,SourceField: ,SUMLEV
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
GEOCOMP,Short Text,2,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {E0315EE3-5BAE-4554-8F68-B41E5834C955}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,3
,,,Required: ,False
,,,SourceField: ,GEOCOMP
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
CHARITER,Short Text,3,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
Name,Type,Size,Property,Value
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {B890DC92-4B18-418D-817E-AE43F20BD08E}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,4
,,,Required: ,False
,,,SourceField: ,CHARITER
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
CIFSN,Short Text,2,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {61C2C503-7599-43C0-BAB2-183148F2134F}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,5
,,,Required: ,False
,,,SourceField: ,CIFSN
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
LOGRECNO,Long Integer,7,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,False
,,,AppendOnly: ,False
,,,Attributes: ,Fixed Size
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DecimalPlaces: ,Auto
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {1195FDDC-5CA4-4A2F-9025-EE7712FB55CF}}
,,,OrdinalPosition: ,6
,,,Required: ,False
,,,SourceField: ,LOGRECNO
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
REGION,Short Text,1,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
Name,Type,Size,Property,Value
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {AA333783-A62A-45CF-88CB-243FB23B1079}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,7
,,,Required: ,False
,,,SourceField: ,REGION
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
DIVISION,Short Text,1,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {5AA1B541-8A9F-4676-89B9-185AE35BB24C}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,8
,,,Required: ,False
,,,SourceField: ,DIVISION
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
STATE,Short Text,2,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {8BA60533-0A41-4538-88B8-F1DBDD44AFA8}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,9
,,,Required: ,False
,,,SourceField: ,STATE
Name,Type,Size,Property,Value
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
COUNTY,Short Text,3,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {DE31C2BE-0C2B-4339-8B00-649D411113E1}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,10
,,,Required: ,False
,,,SourceField: ,COUNTY
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
COUNTYCC,Short Text,2,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {0110A584-5CEF-4E5A-BF1E-B877F3A3C207}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,11
,,,Required: ,False
,,,SourceField: ,COUNTYCC
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
COUNTYSC,Short Text,2,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
Name,Type,Size,Property,Value
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {459C9CC5-53C8-4905-AD28-B2D4D1F42819}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,12
,,,Required: ,False
,,,SourceField: ,COUNTYSC
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
COUSUB,Short Text,5,,
,,,AggregateType: ,-1
,,,AllowZeroLength: ,True
,,,AppendOnly: ,False
,,,Attributes: ,Variable Length
,,,CollatingOrder: ,General
,,,ColumnHidden: ,False
,,,ColumnOrder: ,Default
,,,ColumnWidth: ,Default
,,,DataUpdatable: ,False
,,,DisplayControl: ,Text Box
,,,GUID: ,{guid {70161015-A400-4B8E-ADF4-39C5F31F3CD0}}
,,,IMEMode: ,0
,,,IMESentenceMode: ,3
,,,OrdinalPosition: ,13
,,,Required: ,False
,,,SourceField: ,COUSUB
,,,SourceTable: ,GEO_HEADER_SF1
,,,TextAlign: ,General
,,,UnicodeCompression: ,False
COUSUBCC,Short Text,2,,
,,,AggregateType: ,-1
